1	lit	3
1	crit	1
1	101	4
1	extrem	19
1	plai	21
1	larg	20
1	repres	12
1	broad	6
1	cross-sect	2
1	tavernier'	2
1	bound	3
1	rat-a-tat	1
1	girl	37
1	fridai	3
1	maintain	17
1	light	33
1	touch	73
1	tackl	8
1	theme	31
1	stop	11
1	think	12
1	start	22
1	react	2
1	grand	13
1	locat	6
1	urgent	3
1	protagonist	8
1	struggl	21
1	merci	3
1	invent	28
1	gasp	4
1	delight	46
1	happili	7
1	stai	19
1	ground	10
1	spare	13
1	simpl	28
1	manner	21
1	pummel	1
1	phoni	3
1	imageri	13
1	sensit	24
1	smart	47
1	savvi	7
1	coming-of-ag	33
1	delv	3
1	passive-aggress	1
1	psycholog	39
1	co-depend	1
1	self-esteem	3
1	rain	2
1	small	29
1	treasur	16
1	envelop	5
1	liter	12
1	spiritu	14
1	torpor	2
1	cathart	1
1	vividli	14
1	convei	14
1	shadow	10
1	30-year	1
1	friendship	22
1	english	7
1	macabr	3
1	styliz	6
1	swedish	3
1	fillm	1
1	modern	35
1	citi	17
1	religi	4
1	civic	3
1	virtu	8
1	hold	25
1	societi	13
1	tatter	2
1	divert	12
1	french	39
1	husband	7
1	cope	4
1	peski	2
1	mood	30
1	jealousi	11
1	spielberg	15
1	compani	13
1	yourselv	1
1	con	9
1	succe	23
1	merrili	1
1	nobl	6
1	endeavor	2
1	trove	1
1	rel	6
1	open	28
1	consider	23
1	cheer	5
1	engag	60
1	afghan	2
1	tragedi	26
1	warlord	1
1	consign	2
1	dustbin	1
1	histori	55
1	waydowntown	5
1	mean	35
1	perfect	39
1	boast	6
1	huge	20
1	factor	4
1	smack	4
1	origin	19
1	plan	5
1	alabama	6
1	hit	35
1	mark	30
1	critic	10
1	escap	17
1	town	5
1	una	12
1	pel兤ula	3
1	oscura	1
1	precisa	1
1	por	2
1	momento	4
1	grandiosa	1
1	y	27
1	casi	1
1	siempr	1
1	conmovedora	1
1	happi	26
1	throwback	2
1	cartoon	4
1	cinema'	7
1	idiosyncrat	5
1	form	31
1	flaw	47
1	engross	33
1	condit	11
1	weepi	2
1	saucer-ei	1
1	downy-cheek	1
1	moppet	1
1	empathet	2
1	caretak	1
1	emotion	18
1	cheat	4
1	tart	3
1	sugar-fre	1
1	pace	25
1	satisfi	43
1	deserv	24
1	租irect-to-video'	1
1	releas	14
1	structur	11
1	well-hon	1
1	fresnadillo'	1
1	jolt	10
1	imag	38
1	ply	1
1	subconsci	2
1	nightmar	5
1	week	7
1	ago	9
1	believ	24
1	fervent	2
1	human	25
1	anachronist	3
1	cute	13
1	arriv	7
1	moment	14
